冰路营救/极地冰劫(港)/疾冻救援(台),The  Ice Road/Red Ice,2021,美国,剧情 / 动作 / 惊悚 /  冒险,6.3/10
Cliff  Walkers/Impasse,悬崖之上,2021,"中国大陆,中国香港",剧情/动作/悬疑,7.6/10
老去/归老(豆友译名)/诡老(台),Old,2021,美国,剧情  / 悬疑 / 惊悚 / 恐怖,6.3/10
一九二一,1921,2021,中国大陆,剧情/历史,6.7/10
我没有谈的那场恋爱/I  Missed  You,我�]有��的那������,2021,中国台湾,剧情/爱情,5.7/10
速度与激情9/F9狂野时速(港)/狂野时速9/玩命关头9(台)/速激9,F9:  The Fast Saga/Fast &amp; Furious  9/FF9,2021,"美国,泰国,加拿大",动作 /  犯罪,5.3/10
Chinese  Doctors,中国医生/中国&middot;医生,2021,中国大陆,剧情/灾难,6.9/10
The  Old Town  Girls,兔子暴力,2021,中国大陆,剧情/悬疑/家庭/犯罪,6.1/10
幽灵之国的囚徒/鬼域之囚/鬼域的囚徒,Prisoners  Of The  Ghostland,2021,美国/日本,动作/惊悚/恐怖,4.7/10
哥斯拉大战金刚/GvK/King  Kong vs. Godzilla/哥吉拉大战金刚(台)/金刚大战哥斯拉,Godzilla vs  Kong,2021,"美国,澳大利亚,加拿大,印度",动作 / 科幻 /  冒险,6.3/10
KungFu  Stuntmen,龙虎武师,2020,中国大陆,纪录片,8.3/10
Home  Sweet  Home,秘密访客,2021,中国大陆,悬疑/惊悚,5.4/10
致命感应/恶性/恶毒/恶煞(港)/疾厄(台)/肿瘤/肿瘤侠,Malignant/Malignant  Man,2021,"美国,中国大陆",惊悚/恐怖,7.0/10
凯特/绝命凯特,Kate,2021,美国,动作  / 惊悚 / 犯罪 /  冒险,6.3/10
Green  Snake,白蛇2：青蛇劫起/白蛇2,2021,中国大陆,动画/奇幻/冒险,7.2/10
